#The local date and time: 	Fri May 14 18:24:14 2021

#TIME CONSUMTION CALCUALATIONS, Flows in pcap file
#/mnt/c/Users/ahmad/Desktop/Thesis/pcap_files/SplittedPcaps/T1oneGig.pcap
#This file contains the Time report for implementing functions below
#All Randomness Tests plugin functions including RTs in R seperated
#RTs preprocessing (which includes the initialization of R instance in the first time)
#Ground truth label extraction in which the caputred flow is matched with the ones saved in GT file
#Classification time using ANN prediction
#NOTE: this time calculation is for each processed flow
#in ANN classification with its trained model(the model is loaded only once in the first flow)
#
RTpre	Freq	Blockfreq	Ser	Cumsum	ApEnt	Dft	Lruns	Runs	TBT	GCD	Bckstack	GTmatch	Classification	Packets	FlowID
64	33	52	240	52	214	2938	49	13	874432	354593	358174	10	10	5	48136128
41	16	23	13021	28	15444	1719	29	17	313471	351798	360457	10	10	5	27459712
65	24	15	26064	38	29514	4684	41	20	385384	520392	468261	10	10	5	1055443008
101	22	35	13044	40	15515	4171	46	19	392781	513429	468071	9	9	5	1201867456
44	17	43	25919	32	29664	5779	37	15	390234	576084	467759	9	9	5	1578473904
64	16	46	27929	48	32553	2410	38	18	422167	624912	464425	9	9	5	2223073136
27	14	28	112	21	123	2091	23	9	239001	332394	280669	10	10	3	4098946288
63	23	32	143	38	155	6317	57	19	391603	571660	462696	9	9	5	3780264384
42	18	46	38784	33	43929	2239	37	17	387618	628261	466094	9	9	5	3027051488
71	26	26	113	38	125	6334	47	20	391374	452121	469842	10	10	5	1249287344
82	27	30	152	55	127	8154	63	20	393410	508563	474290	9	9	5	3939643504
104	29	30	123	68	124	6436	45	21	394172	451254	467613	10	10	5	257099840
76	26	26	112	39	124	6489	47	20	394478	450414	467114	9	9	5	3559879632
40	14	31	26855	97	29622	3426	29	13	310637	360900	371033	9	9	4	129896320
69	25	15	69	36	67	7327	34	18	313281	359410	373540	9	9	5	2322078912
82	27	18	13057	42	14830	6349	50	23	397372	456470	473330	9	9	5	608033680
87	26	21	25234	41	29817	5422	45	21	394474	452632	468486	9	9	5	1520625696
36	17	25	12819	28	15067	2725	32	16	379279	507071	464576	10	10	5	2906484672
36	15	9	25933	21	29693	2745	26	13	236096	330264	282450	9	9	3	2378152480
32	11	14	13006	18	14978	8102	20	8	155461	178975	184972	10	10	2	2114459472
117	25	28	162	34	124	6319	41	19	391229	514387	472510	9	9	5	434903280
52	19	31	12763	29	14537	4357	37	21	388496	559071	464596	10	10	5	2097007168
40	15	22	39042	28	43589	4624	32	15	384324	505637	468164	10	10	5	3323541520
44	18	31	39434	31	44589	5246	41	18	386859	455193	464612	9	9	5	1404519712
32	13	19	12938	19	15034	3875	26	15	237209	328674	280768	9	9	3	300156416
52	19	25	83	70	111	3269	34	14	306288	470301	371994	9	9	4	4149788080
31	11	17	12491	19	14467	6721	17	10	156103	183973	188176	9	9	2	122813568
47	17	20	72	27	85	2654	29	13	235769	275050	275473	9	9	3	1947997600
49	12	18	58	18	70	7086	21	8	161448	179446	185151	9	9	2	2860589616
46	16	32	12760	27	14439	2849	31	13	234986	276742	282630	9	9	3	1035405584
35	14	19	12949	20	14983	6717	28	11	236784	272736	281673	6	6	3	3922312016
56	19	15	89	44	57	3134	37	19	235593	270594	284378	21	21	5	148207616
129	43	18	12561	42	14444	4275	44	22	393482	459517	469078	9	9	5	3081393152
72	21	22	13362	40	14894	5609	48	22	390447	452747	464239	9	9	5	64965360
81	26	16	26292	41	29668	6527	48	22	398432	447884	474563	11	11	5	977557376
54	18	12	50414	34	57553	6580	46	20	390317	512268	468920	9	9	5	3179347856
42	17	10	12638	25	14525	21367	28	13	238497	270784	283249	8	8	3	2778902688
11	5	8	38	8	51	156	4	2	75254	145110	96253	9	9	1	1975642928
80	27	27	112	41	124	4127	49	21	396333	454971	462606	10	10	5	3596650496
85	27	26	112	42	124	5180	47	19	395349	513002	470684	10	10	5	2082051072
99	25	15	39934	39	43723	5857	48	29	395527	563675	472894	10	10	5	567451648
