#The local date and time: 	Fri May 14 14:32:31 2021

#TIME CONSUMTION CALCUALATIONS, Flows in pcap file
#/mnt/c/Users/ahmad/Desktop/Thesis/pcap_files/SplittedPcaps/T1oneGig.pcap
#This file contains the Time report for implementing functions below
#All Randomness Tests plugin functions including RTs in R seperated
#RTs preprocessing (which includes the initialization of R instance in the first time)
#Ground truth label extraction in which the caputred flow is matched with the ones saved in GT file
#Classification time using ANN prediction
#NOTE: this time calculation is for each processed flow
#in ANN classification with its trained model(the model is loaded only once in the first flow)
#
RTpre	Freq	Blockfreq	Ser	Cumsum	ApEnt	Dft	Lruns	Runs	TBT	GCD	Bckstack	GTmatch	Classification	Packets	FlowID
54	29	51	193	56	246	2366	34	14	0	0	0	14	14	5	48136128
40	20	25	13030	30	15188	1812	29	34	0	0	0	12	12	5	27459712
67	39	17	26646	39	31110	4628	44	22	0	0	0	11	11	5	1055443008
77	24	38	12861	51	14578	4152	49	22	0	0	0	11	11	5	1201867456
37	19	44	25746	32	30128	6303	36	17	0	0	0	11	11	5	1578473904
39	19	44	25717	31	30273	2404	39	15	0	0	0	10	10	5	2223073136
28	14	30	106	21	203	2506	24	11	0	0	0	9	9	3	4098946288
62	25	35	182	51	177	6461	42	20	0	0	0	9	9	5	3780264384
48	20	37	38926	33	45246	2294	36	15	0	0	0	10	10	5	3027051488
121	28	29	123	44	173	6542	51	21	0	0	0	8	8	5	1249287344
118	29	32	171	44	137	8083	52	22	0	0	0	8	8	5	3939643504
87	30	29	141	85	188	6556	55	21	0	0	0	8	8	5	257099840
121	29	29	123	41	166	6518	52	20	0	0	0	9	9	5	3559879632
36	36	35	26121	30	30262	3470	29	14	0	0	0	11	11	4	129896320
73	27	16	75	36	73	7684	36	19	0	0	0	10	10	5	2322078912
93	30	19	13039	40	14629	6035	48	22	0	0	0	9	9	5	608033680
83	26	18	26269	44	30862	5414	49	23	0	0	0	10	10	5	1520625696
54	17	55	13007	28	14802	2786	32	17	0	0	0	11	11	5	2906484672
36	15	11	26045	21	30239	2856	27	13	0	0	0	11	11	3	2378152480
22	14	16	12914	21	14764	7828	22	9	0	0	0	10	10	2	2114459472
104	27	30	124	38	135	6492	46	19	0	0	0	9	9	5	434903280
48	20	34	13224	28	14607	4789	37	20	0	0	0	10	10	5	2097007168
33	17	23	39569	29	44459	4767	32	16	0	0	0	11	11	5	3323541520
40	19	51	38190	30	44719	5206	41	17	0	0	0	10	10	5	1404519712
25	14	20	13137	20	14633	3585	25	14	0	0	0	39	39	3	300156416
49	21	25	103	34	135	3458	34	17	0	0	0	8	8	4	4149788080
20	13	17	12936	17	14463	6660	19	9	0	0	0	9	9	2	122813568
39	16	21	93	25	92	2694	30	13	0	0	0	7	7	3	1947997600
26	13	18	58	19	104	7310	21	9	0	0	0	7	7	2	2860589616
35	14	20	12987	26	14587	2842	29	14	0	0	0	8	8	3	1035405584
30	14	20	13069	19	14682	6484	26	11	0	0	0	5	5	3	3922312016
76	20	16	62	33	62	3152	37	45	0	0	0	10	10	5	148207616
132	44	38	13305	42	15981	4363	48	24	0	0	0	11	11	5	3081393152
88	27	24	13115	40	15360	5443	48	20	0	0	0	11	11	5	64965360
88	29	18	25839	40	30397	6608	44	20	0	0	0	9	9	5	977557376
47	23	17	51950	59	58985	6741	45	20	0	0	0	12	12	5	3179347856
40	18	10	13560	26	14874	21296	28	13	0	0	0	10	10	3	2778902688
4	5	9	39	9	51	230	4	2	0	0	0	33	33	1	1975642928
101	29	29	136	44	166	4299	50	18	0	0	0	9	9	5	3596650496
93	30	42	137	45	204	5367	50	21	0	0	0	9	9	5	2082051072
72	44	25	40649	37	44910	5821	47	21	0	0	0	13	13	5	567451648
46	15	32	119	22	163	2452	25	11	0	0	0	9	9	3	636415168
49	21	13	72	33	57	12705	36	18	0	0	0	14	14	4	3504607568
104	28	20	95	46	101	6122	44	21	0	0	0	10	10	5	665142188
98	54	24	161	31	254	3223	34	15	0	0	0	8	8	5	309822558
44	21	34	110	33	179	2275	27	12	0	0	0	10	10	3	149813280
62	22	15	62	47	77	3453	35	17	0	0	0	9	9	5	3465446400
26	16	34	110	26	148	2992	62	15	0	0	0	11	11	3	2230717024
163	40	19	109	40	76	7442	53	24	0	0	0	35	35	5	1833154080
120	27	19	14350	72	16972	10320	56	25	0	0	0	28	28	5	2252590336
103	30	19	13198	44	15001	6154	52	22	0	0	0	10	10	5	1319250896
65	24	37	13515	31	14939	6992	35	19	0	0	0	8	8	5	788061712
77	30	19	13120	42	14795	6117	46	23	0	0	0	9	9	5	1767370224
88	28	16	75	37	78	5438	33	19	0	0	0	9	9	5	2001093264
73	24	18	25811	36	30045	4317	41	22	0	0	0	10	10	5	3860547040
56	27	16	25807	40	31251	7524	46	25	0	0	0	11	11	5	3592554256
48	24	18	25950	37	30218	5059	40	22	0	0	0	11	11	5	1122770992
35	25	43	107	21	194	2623	25	12	0	0	0	8	8	3	2309540720
63	18	9	26005	28	30093	4581	30	15	0	0	0	12	12	3	3201139952
33	14	7	12973	20	14836	8563	21	9	0	0	0	9	9	2	1994600832
95	30	31	124	43	160	6424	47	20	0	0	0	9	9	5	1233048016
67	20	46	13266	31	14687	4667	45	19	0	0	0	8	8	5	1438525440
65	21	28	13009	32	15266	4221	40	19	0	0	0	12	12	5	4160216224
95	30	19	13278	40	16125	6401	49	23	0	0	0	11	11	5	94482560
97	31	19	13977	41	15122	6208	49	24	0	0	0	11	11	5	2564265824
133	28	20	141	58	96	21261	68	24	0	0	0	10	10	5	2950909344
76	27	27	13910	39	15430	6053	46	22	0	0	0	12	12	5	1007074576
45	18	13	13325	23	14966	2194	26	13	0	0	0	8	8	3	1530840960
45	19	21	15616	24	14964	5642	23	15	0	0	0	12	12	3	2777719120
65	21	22	97	29	110	12567	32	16	0	0	0	9	9	4	2014891728
15	10	41	87	16	128	1570	11	7	0	0	0	7	7	2	3095824672
17	10	37	13028	14	14548	694	14	8	0	0	0	8	8	2	2505454416
13	10	15	12951	17	14599	643	13	11	0	0	0	9	9	2	3213644720
42	18	23	98	26	94	16696	27	14	0	0	0	13	13	3	3072748224
71	21	41	13168	28	14666	4567	39	17	0	0	0	10	10	5	1827318288
78	29	19	13357	41	15040	7190	48	23	0	0	0	8	8	5	892263504
68	27	19	13374	43	14946	6456	48	24	0	0	0	10	10	5	3093168640
90	21	59	237	32	248	4489	41	19	0	0	0	8	8	5	3306854592
107	25	16	72	35	71	5378	34	17	0	0	0	8	8	5	661032528
137	28	25	132	45	132	4846	90	25	0	0	0	10	10	5	914854912
81	24	36	13116	32	15753	3640	46	20	0	0	0	10	10	5	1158928272
79	42	27	92	42	75	5980	33	17	0	0	0	8	8	5	1260141280
80	26	57	145	41	257	5580	47	17	0	0	0	7	7	5	2125827120
21	13	23	120	18	130	2030	21	19	0	0	0	8	8	3	395326880
85	31	19	13573	44	14537	12471	57	25	0	0	0	12	12	5	2030815776
35	18	30	108	24	133	2054	27	12	0	0	0	9	9	3	1167263488
46	18	20	12873	26	15549	2323	27	16	0	0	0	12	12	3	4236030064
93	27	18	26169	39	30752	6820	48	21	0	0	0	11	11	5	19194688
51	40	24	163	44	250	3371	35	17	0	0	0	8	8	5	707265360
85	25	36	13291	37	15057	4071	47	20	0	0	0	7	7	5	2017656128
52	18	37	13474	30	14753	3531	33	20	0	0	0	11	11	5	3406765168
47	15	30	119	46	163	2526	24	10	0	0	0	7	7	3	3832425392
39	17	16	13062	24	15429	3751	30	15	0	0	0	13	13	3	545873664
