#The local date and time: 	Fri May 14 15:05:58 2021

#TIME CONSUMTION CALCUALATIONS, Flows in pcap file
#/mnt/c/Users/ahmad/Desktop/Thesis/pcap_files/SplittedPcaps/T1oneGig.pcap
#This file contains the Time report for implementing functions below
#All Randomness Tests plugin functions including RTs in R seperated
#RTs preprocessing (which includes the initialization of R instance in the first time)
#Ground truth label extraction in which the caputred flow is matched with the ones saved in GT file
#Classification time using ANN prediction
#NOTE: this time calculation is for each processed flow
#in ANN classification with its trained model(the model is loaded only once in the first flow)
#
RTpre	Freq	Blockfreq	Ser	Cumsum	ApEnt	Dft	Lruns	Runs	TBT	GCD	Bckstack	GTmatch	Classification	Packets	FlowID
38	38	51	155	48	273	2264	33	14	1660111	382700	393291	10	10	5	48136128
36	19	42	12897	29	14976	1743	29	15	312564	353411	384848	11	11	5	27459712
70	29	17	26272	38	30400	4663	44	23	378598	552599	489040	11	11	5	1055443008
95	24	52	13081	38	14703	4025	46	19	397240	524866	485452	9	9	5	1201867456
48	19	43	25869	33	29644	6094	37	17	386392	585886	491799	11	11	5	1578473904
45	19	44	27043	28	31106	2216	35	18	391748	646237	481674	10	10	5	2223073136
43	15	30	108	36	154	2313	24	10	240554	344255	291001	11	11	3	4098946288
73	24	33	160	40	231	6379	42	19	395352	582589	483931	10	10	5	3780264384
69	21	38	38818	33	45706	2308	37	35	392123	645784	488522	9	9	5	3027051488
95	28	29	123	54	149	6654	48	22	399239	489217	511406	10	10	5	1249287344
109	28	33	124	79	148	8936	50	23	488523	618813	582758	10	10	5	3939643504
105	30	29	135	41	200	6590	46	20	455038	555139	488438	10	10	5	257099840
109	28	29	136	73	187	6563	47	18	404692	451544	550749	11	11	5	3559879632
56	16	35	31878	28	31421	3536	29	15	341560	433864	466115	30	30	4	129896320
77	23	17	86	34	72	7612	36	19	389420	445398	467552	11	11	5	2322078912
90	31	19	14354	40	19398	8422	65	42	494765	497745	491282	9	9	5	608033680
92	25	18	25499	42	29370	5526	46	20	419245	469201	557203	9	9	5	1520625696
38	15	25	13327	28	15062	2734	35	17	403312	537164	472569	10	10	5	2906484672
39	14	9	27523	24	32779	3172	46	17	247670	338447	302604	13	13	3	2378152480
30	12	29	15129	17	18967	8808	20	8	166948	181415	190169	9	9	2	2114459472
74	24	28	114	33	124	6232	40	18	412805	681893	475554	9	9	5	434903280
55	19	42	13164	29	15111	4849	38	50	392877	620718	460656	10	10	5	2097007168
38	14	23	38522	29	51033	6172	43	32	406569	520373	486332	10	10	5	3323541520
46	16	31	38180	29	43865	5192	40	18	414438	474328	463027	10	10	5	1404519712
35	12	21	13330	20	15912	3629	23	14	247594	341763	279073	9	9	3	300156416
52	19	25	80	31	93	3338	52	17	312913	459887	366393	9	9	4	4149788080
27	10	17	13032	16	14922	6854	52	36	158977	180279	181783	9	9	2	122813568
39	17	36	73	27	85	2494	30	11	237895	266348	277941	9	9	3	1947997600
33	13	18	58	18	70	7320	24	11	155937	179891	181039	9	9	2	2860589616
44	16	20	12933	26	14959	3035	30	14	235026	270501	273163	9	9	3	1035405584
30	14	20	13294	23	14653	6545	26	12	237438	266332	277682	6	6	3	3922312016
61	21	15	58	34	58	2985	34	17	238266	268851	278220	10	10	5	148207616
104	28	18	12853	42	14971	4427	46	22	397548	442121	477254	12	12	5	3081393152
174	28	24	12998	41	14680	5598	49	22	397242	448147	460897	9	9	5	64965360
85	27	17	25293	40	29089	6632	50	22	395834	445870	465089	9	9	5	977557376
58	21	12	51046	35	57359	6614	45	20	393193	501357	461461	9	9	5	3179347856
39	16	11	12571	23	14520	21321	27	13	238170	269106	275035	9	9	3	2778902688
12	4	8	39	7	50	157	4	2	78227	144553	90611	10	10	1	1975642928
98	27	27	112	43	125	4176	74	32	397150	444924	465295	11	11	5	3596650496
88	27	27	123	43	126	5400	47	22	394038	808303	468458	11	11	5	2082051072
81	49	16	41311	33	43416	5832	59	22	393917	559973	460599	11	11	5	567451648
27	13	29	101	20	164	2508	26	12	236277	328674	275816	10	10	3	636415168
52	18	12	53	27	52	11656	28	13	237407	271661	276029	9	9	4	3504607568
84	26	19	77	39	75	5773	44	21	319711	360483	381825	11	11	5	665142188
50	18	22	150	29	196	3171	31	16	383986	450069	470920	10	10	5	309822558
64	31	33	140	72	166	2158	27	14	246065	336492	281134	10	10	3	149813280
127	41	30	60	34	61	3395	49	20	246233	277414	295545	10	10	5	3465446400
36	16	33	139	22	155	2973	27	27	247205	342151	283048	10	10	3	2230717024
96	27	20	81	39	79	7947	48	39	331882	368761	381864	10	10	5	1833154080
92	28	18	16161	45	15481	9437	55	25	410522	463986	478328	10	10	5	2252590336
95	28	18	13430	54	15410	6446	51	24	403062	501064	472734	10	10	5	1319250896
77	25	30	12958	33	14919	7189	39	20	397150	512307	460634	10	10	5	788061712
93	28	18	13264	42	15147	6612	51	23	406066	520823	479603	10	10	5	1767370224
68	24	16	71	35	69	5196	39	18	326570	366920	386772	9	9	5	2001093264
