#The local date and time: 	Fri May 14 14:22:23 2021

#TIME CONSUMTION CALCUALATIONS, Flows in pcap file
#/mnt/c/Users/ahmad/Desktop/Thesis/pcap_files/SplittedPcaps/T1oneGig.pcap
#This file contains the Time report for implementing functions below
#All Randomness Tests plugin functions including RTs in R seperated
#RTs preprocessing (which includes the initialization of R instance in the first time)
#Ground truth label extraction in which the caputred flow is matched with the ones saved in GT file
#Classification time using ANN prediction
#NOTE: this time calculation is for each processed flow
#in ANN classification with its trained model(the model is loaded only once in the first flow)
#
RTpre	Freq	Blockfreq	Ser	Cumsum	ApEnt	Dft	Lruns	Runs	TBT	GCD	Bckstack	GTmatch	Classification	Packets	FlowID
86	38	46	200	32	221	4697	44	19	0	0	0	8	8	5	3306854592
58	24	15	90	34	103	5405	34	17	0	0	0	8	8	5	661032528
153	30	25	148	49	163	4865	51	23	0	0	0	9	9	5	914854912
104	23	36	13561	37	15687	3793	48	19	0	0	0	12	12	5	1158928272
89	26	17	89	38	75	6386	38	19	0	0	0	9	9	5	1260141280
86	27	40	144	41	183	5693	46	16	0	0	0	9	9	5	2125827120
22	13	26	107	18	131	2085	21	10	0	0	0	9	9	3	395326880
88	30	20	13496	43	15360	12969	45	24	0	0	0	14	14	5	2030815776
36	16	30	107	25	132	2107	27	11	0	0	0	9	9	3	1167263488
44	19	20	13343	26	16056	2436	27	14	0	0	0	14	14	3	4236030064
119	24	18	26621	38	31611	7045	73	21	0	0	0	13	13	5	19194688
62	21	24	160	31	216	3385	35	45	0	0	0	10	10	5	707265360
79	24	36	13649	39	14930	4183	47	19	0	0	0	11	11	5	2017656128
63	18	20	13532	30	15071	3682	37	20	0	0	0	11	11	5	3406765168
38	13	30	106	33	133	2551	27	10	0	0	0	8	8	3	3832425392
38	16	16	13651	23	16497	3727	26	10	0	0	0	12	12	3	545873664
95	29	21	83	43	82	6279	48	23	0	0	0	9	9	5	762587712
135	27	19	15576	57	17071	6792	55	23	0	0	0	15	15	5	220604112
16	9	26	99	16	112	673	14	8	0	0	0	11	11	2	2608833872
24	9	24	100	15	145	686	14	7	0	0	0	7	7	2	674150832
17	9	24	81	14	144	663	14	7	0	0	0	8	8	2	3143934096
35	14	30	99	42	134	3862	24	13	0	0	0	9	9	4	727585648
9	4	8	41	6	54	190	4	2	0	0	0	7	7	1	4052984736
27	13	30	122	19	133	2375	23	8	0	0	0	6	6	3	3742947872
74	22	16	75	33	85	8064	52	18	0	0	0	10	10	5	2948134064
122	24	27	13168	42	16346	5592	54	21	0	0	0	11	11	5	1904173072
14	12	12	12991	17	14799	1695	13	7	0	0	0	11	11	2	80317056
25	13	17	56	21	90	12769	21	7	0	0	0	9	9	2	903018944
95	30	32	171	43	164	6734	47	21	0	0	0	9	9	5	2224259328
62	23	24	139	39	151	5015	39	19	0	0	0	8	8	5	2600969728
61	27	46	155	59	145	6583	44	21	0	0	0	9	9	5	3129752576
61	27	46	155	45	135	6579	45	22	0	0	0	21	21	5	4187318272
156	27	28	13598	40	15108	5022	45	20	0	0	0	11	11	5	421133824
118	26	28	122	50	136	7004	82	79	0	0	0	12	12	5	3944371072
83	29	29	124	44	136	6201	46	22	0	0	0	8	8	5	2118744368
79	44	20	126	41	126	8832	44	22	0	0	0	9	9	5	78546368
5	5	8	53	6	55	171	4	2	0	0	0	8	8	1	3565768768
5	5	8	54	6	50	210	4	2	0	0	0	9	9	1	404707520
6	5	7	39	6	50	244	4	2	0	0	0	9	9	1	1685561248
9	5	8	44	7	61	226	6	3	0	0	0	12	12	1	3418821088
61	20	14	13000	28	15427	3742	36	18	0	0	0	14	14	4	409517968
73	24	35	13019	38	14461	4911	42	19	0	0	0	10	10	5	2240679936
61	19	57	163	30	224	3453	33	13	0	0	0	8	8	5	3818948430
37	20	23	205	30	228	3708	36	18	0	0	0	45	45	5	3503213200
149	60	31	124	44	186	6933	62	21	0	0	0	9	9	5	558923072
140	30	31	156	44	177	6963	51	22	0	0	0	9	9	5	3185463184
20	10	32	106	19	148	1049	13	9	0	0	0	8	8	5	3093260662
76	46	31	155	43	156	6253	46	20	0	0	0	9	9	5	2556552192
37	15	19	12931	28	14691	4019	38	13	0	0	0	9	9	3	4158942368
128	44	18	15626	38	16074	7856	76	21	0	0	0	12	12	5	1485645824
102	34	22	13806	40	15225	7790	44	20	0	0	0	12	12	5	1377783808
74	24	16	13059	37	14583	4959	45	18	0	0	0	9	9	5	1269921792
77	23	33	142	34	169	4992	36	16	0	0	0	10	10	5	1142907664
98	28	32	125	44	137	6793	49	21	0	0	0	12	12	5	1205301072
107	29	37	12875	42	14449	6213	53	21	0	0	0	9	9	5	953953248
50	22	57	205	36	275	2575	36	16	0	0	0	9	9	5	3845169504
114	29	18	12920	40	15085	6881	47	22	0	0	0	9	9	5	2541005296
80	26	18	13059	39	14527	7991	44	33	0	0	0	10	10	5	2580016160
118	26	18	14035	39	15273	8471	53	22	0	0	0	13	13	5	1037816816
141	26	18	13010	42	15178	8166	49	21	0	0	0	11	11	5	280631712
122	36	30	166	58	218	7081	54	21	0	0	0	9	9	5	4148318240
63	22	41	166	37	219	4591	43	14	0	0	0	8	8	5	2431747872
66	27	22	14276	34	14620	3721	37	19	0	0	0	11	11	5	1571535600
15	11	36	104	20	115	1015	12	8	0	0	0	8	8	4	2408452076
12	10	23	89	12	118	973	9	5	0	0	0	8	8	4	1341984210
39	15	24	12842	25	15282	3590	28	11	0	0	0	15	15	4	311714464
1	3	2	2	1	1	2	0	0	0	0	0	7	7	1	2004780720
116	27	27	172	46	136	6635	52	22	0	0	0	11	11	5	1017564960
67	18	34	13823	35	15149	2608	35	19	0	0	0	11	11	5	1241133056
63	14	10	39653	26	44593	1772	28	12	0	0	0	12	12	5	1206582272
149	28	29	124	46	135	6940	51	22	0	0	0	12	12	5	3820386544
169	28	53	195	81	140	7941	48	22	0	0	0	10	10	5	2368383472
152	30	29	122	48	198	6169	56	21	0	0	0	8	8	5	1120437824
67	54	14	51860	56	58417	3709	45	18	0	0	0	11	11	5	3581298608
136	61	30	121	45	144	7618	51	21	0	0	0	8	8	5	1371722176
32	13	17	57	24	94	1259	22	9	0	0	0	9	9	5	400639088
20	11	16	12890	18	14585	3274	18	9	0	0	0	11	11	5	1961621328
102	33	42	147	48	128	5878	71	19	0	0	0	9	9	5	2633927264
134	28	30	154	46	167	7378	53	21	0	0	0	9	9	5	1623006528
167	30	30	154	56	147	6581	52	21	0	0	0	9	9	5	3533465264
128	28	30	187	45	134	5540	50	21	0	0	0	8	8	5	1148956704
167	31	19	16665	59	16118	7081	53	22	0	0	0	12	12	5	280018176
110	30	32	156	45	167	6237	51	21	0	0	0	9	9	5	2745567776
131	27	30	122	41	141	11579	53	23	0	0	0	12	12	5	4210237792
83	22	31	158	37	184	3559	38	15	0	0	0	9	9	5	62587904
85	36	75	206	49	155	4650	43	15	0	0	0	10	10	4	2109807104
37	12	19	12879	39	14534	830	19	11	0	0	0	9	9	5	2977277952
117	29	20	132	48	98	7350	40	21	0	0	0	9	9	5	2653691904
68	17	11	13093	26	14602	8794	25	12	0	0	0	10	10	5	2437967872
127	24	29	13068	42	15215	9830	48	22	0	0	0	10	10	5	2903523808
76	26	30	136	39	135	6404	43	21	0	0	0	8	8	5	238375280
58	43	33	176	37	236	5419	40	18	0	0	0	9	9	5	2067792976
73	21	54	12972	38	14605	19555	56	21	0	0	0	10	10	5	1074106112
111	28	30	154	43	181	5670	47	20	0	0	0	9	9	5	2730728528
102	29	56	140	44	147	5952	48	18	0	0	0	8	8	5	1862601072
118	69	51	184	53	230	6759	49	23	0	0	0	24	24	5	277142080
82	25	58	180	41	228	6564	46	20	0	0	0	8	8	5	913273984
48	18	41	178	29	190	16520	74	15	0	0	0	10	10	5	477463216
44	41	47	158	35	189	3619	35	14	0	0	0	9	9	5	924137680
59	24	25	115	42	147	5922	43	18	0	0	0	10	10	5	2455772400
117	45	30	152	56	148	6725	85	22	0	0	0	13	13	5	1305687392
133	28	30	122	44	133	8365	51	20	0	0	0	9	9	5	4289887952
83	27	38	139	47	155	2215	33	12	0	0	0	9	9	5	1139283584
80	19	40	156	30	193	4764	48	17	0	0	0	10	10	5	3891989504
127	30	31	153	47	212	13614	55	21	0	0	0	9	9	5	1082921920
114	29	30	122	85	148	13527	54	21	0	0	0	23	23	5	246205008
63	22	50	202	50	280	5666	45	17	0	0	0	9	9	5	485544960
139	29	30	154	44	165	7285	51	21	0	0	0	10	10	5	811594800
89	46	31	124	72	159	8307	45	21	0	0	0	10	10	5	3019114736
43	21	34	144	37	197	3952	36	16	0	0	0	8	8	5	707675648
89	40	37	184	36	231	14874	62	20	0	0	0	11	11	5	3496943616
135	23	68	143	47	213	5786	47	19	0	0	0	9	9	5	1991244288
133	30	30	153	44	180	7896	67	23	0	0	0	9	9	5	1237082976
141	65	30	152	45	142	6377	51	21	0	0	0	8	8	5	4109900800
141	49	30	154	79	144	8830	53	22	0	0	0	8	8	5	1251342416
124	30	31	133	45	155	9541	52	35	0	0	0	10	10	5	1725392240
133	43	30	176	44	166	7331	51	18	0	0	0	8	8	5	697320400
127	29	30	123	45	193	6171	74	49	0	0	0	11	11	5	2339343680
81	18	28	13311	32	15074	4169	38	19	0	0	0	11	11	5	2632023040
107	61	36	149	34	157	21056	55	23	0	0	0	13	13	5	3817505280
81	24	38	13550	45	15462	4278	38	18	0	0	0	13	13	5	3698194432
23	12	17	58	19	93	2750	26	8	0	0	0	8	8	5	1786339936
38	16	20	64	25	78	3158	19	10	0	0	0	8	8	5	4251889536
26	11	20	13222	21	15467	4072	21	24	0	0	0	12	12	5	3644263424
53	15	41	13282	29	14985	4732	30	13	0	0	0	12	12	5	3042819072
116	26	59	121	38	179	6364	46	20	0	0	0	9	9	5	123255616
98	24	50	13529	38	16180	7713	47	20	0	0	0	11	11	5	16014848
61	21	37	14425	35	15986	8116	44	19	0	0	0	10	10	5	3249544192
63	21	38	14451	33	15964	7604	80	20	0	0	0	29	29	5	238145536
130	21	70	152	36	191	13017	54	21	0	0	0	12	12	5	4071418192
134	28	61	123	46	135	6145	65	21	0	0	0	9	9	5	987944224
71	24	39	147	44	171	12683	44	21	0	0	0	9	9	5	2241261872
140	26	55	178	43	185	20541	52	21	0	0	0	10	10	5	1220407936
120	24	38	202	40	193	6441	52	23	0	0	0	25	25	5	4282969744
75	25	46	30832	31	33249	4629	35	15	0	0	0	10	10	5	2544894976
166	29	81	193	85	172	7638	47	21	0	0	0	25	25	5	1742543152
100	50	53	13527	37	15837	7038	41	19	0	0	0	11	11	5	570195968
113	41	24	15368	31	15219	10598	32	17	0	0	0	12	12	5	516264960
43	20	26	123	32	206	3405	65	16	0	0	0	14	14	5	4057234560
84	16	35	27694	26	30053	5485	31	12	0	0	0	10	10	4	4008909440
49	19	56	25977	36	31044	12651	39	15	0	0	0	11	11	5	1555194240
109	21	56	172	33	228	18416	50	39	0	0	0	10	10	5	3396446336
18	16	28	111	47	183	2573	15	10	0	0	0	9	9	4	4010840832
166	43	35	197	44	196	15791	66	31	0	0	0	24	24	5	3332914432
136	24	27	114	40	126	8022	50	50	0	0	0	10	10	5	31592480
57	21	28	14094	34	15022	4166	36	19	0	0	0	12	12	5	2483304448
141	61	30	157	47	144	7064	49	30	0	0	0	9	9	5	1436715136
88	29	47	185	70	155	6271	36	18	0	0	0	10	10	5	2486308864
117	30	31	122	44	156	10151	51	21	0	0	0	8	8	5	1736561136
60	20	25	12935	32	14728	4313	35	19	0	0	0	9	9	5	2484806656
96	25	31	122	39	135	10660	53	22	0	0	0	10	10	5	2873124048
108	29	31	124	44	136	6734	51	22	0	0	0	11	11	5	520026032
31	16	27	29256	27	31884	14246	27	15	0	0	0	12	12	5	3573420320
120	28	29	154	42	149	7864	68	33	0	0	0	16	16	5	2516110832
93	33	21	129	73	117	8097	40	22	0	0	0	9	9	5	586662016
127	26	29	149	38	184	6130	51	22	0	0	0	9	9	5	1433823472
38	14	32	28777	26	33438	4238	29	15	0	0	0	11	11	5	1566782592
151	24	33	139	38	144	7154	53	25	0	0	0	11	11	5	3000856320
35	14	27	26752	27	31014	2356	28	15	0	0	0	11	11	5	1568713984
83	33	24	129	25	175	3661	30	14	0	0	0	10	10	5	652391360
128	27	30	123	40	135	7246	53	23	0	0	0	10	10	5	2930161808
53	20	25	27610	32	31130	4002	37	17	0	0	0	10	10	5	1413578752
48	39	31	194	36	212	2486	34	16	0	0	0	9	9	5	1302243712
97	47	31	164	74	206	5300	46	15	0	0	0	8	8	5	1522271776
69	43	31	166	40	171	6239	41	20	0	0	0	7	7	5	85862864
82	39	31	122	39	144	5685	43	18	0	0	0	8	8	5	130083072
70	47	31	151	44	131	16715	50	24	0	0	0	9	9	5	2735915216
85	30	31	154	54	183	19276	46	20	0	0	0	9	9	5	3321347776
92	31	32	155	45	145	5591	50	32	0	0	0	9	9	5	2972940128
75	47	31	149	82	146	7455	52	23	0	0	0	9	9	5	3446989952
81	26	31	154	37	136	6206	41	18	0	0	0	7	7	5	3209965040
26	27	10	15261	19	15955	627	12	6	0	0	0	10	10	3	114381744
14	10	16	14161	17	14972	1643	14	8	0	0	0	13	13	5	839715920
116	25	38	215	92	183	13240	45	19	0	0	0	9	9	5	2692433232
101	25	30	122	42	134	12571	48	22	0	0	0	9	9	5	226883632
18	8	9	13370	39	14912	1664	12	8	0	0	0	12	12	4	1550790656
72	23	58	168	39	233	5347	47	34	0	0	0	9	9	5	1471176704
119	36	20	13300	32	14825	12525	46	21	0	0	0	11	11	5	913904784
70	21	13	69230	36	71768	7266	45	17	0	0	0	13	13	5	2812954112
85	40	16	29278	49	31430	8737	52	21	0	0	0	13	13	5	2926646272
135	27	29	121	45	144	4183	50	19	0	0	0	9	9	5	381022208
129	28	29	154	44	157	5549	49	19	0	0	0	9	9	5	652466176
108	27	19	158	35	148	4764	40	19	0	0	0	9	9	5	3743986688
105	25	29	114	47	126	9623	50	37	0	0	0	12	12	5	1567742880
148	31	31	123	56	137	6355	48	21	0	0	0	9	9	5	2167434880
76	26	58	146	41	227	12914	46	20	0	0	0	8	8	5	3568783872
87	31	40	164	57	259	18989	48	21	0	0	0	11	11	5	3346653184
36	17	9	26318	62	30636	5625	30	12	0	0	0	11	11	5	3348854784
38	19	37	26390	30	30791	6710	42	15	0	0	0	12	12	5	2021720064
123	39	28	169	51	160	18505	111	36	0	0	0	12	12	5	2530169424
126	40	26	149	39	153	6921	47	16	0	0	0	9	9	5	4149846704
132	27	27	122	41	134	7618	47	21	0	0	0	11	11	5	1674155616
90	71	32	162	159	230	6428	43	21	0	0	0	11	11	5	3712236784
93	25	27	14038	45	14913	5236	50	26	0	0	0	11	11	5	655816192
57	21	33	12914	37	14527	4318	41	20	0	0	0	9	9	5	2161515520
62	20	16	12784	35	15052	7261	42	20	0	0	0	14	14	5	2178356224
31	13	8	12886	22	14390	1862	20	10	0	0	0	9	9	5	2176854016
