#The local date and time: 	Fri May 14 16:12:40 2021

#TIME CONSUMTION CALCUALATIONS, Flows in pcap file
#/mnt/c/Users/ahmad/Desktop/Thesis/pcap_files/SplittedPcaps/T1oneGig.pcap
#This file contains the Time report for implementing functions below
#All Randomness Tests plugin functions including RTs in R seperated
#RTs preprocessing (which includes the initialization of R instance in the first time)
#Ground truth label extraction in which the caputred flow is matched with the ones saved in GT file
#Classification time using ANN prediction
#NOTE: this time calculation is for each processed flow
#in ANN classification with its trained model(the model is loaded only once in the first flow)
#
RTpre	Freq	Blockfreq	Ser	Cumsum	ApEnt	Dft	Lruns	Runs	TBT	GCD	Bckstack	GTmatch	Classification	Packets	FlowID
17	9	17	13401	14	15404	782	15	8	161687	188288	191571	9	9	2	2505454416
23	10	16	13422	16	15337	730	15	11	163128	186565	189243	11	11	2	3213644720
51	17	23	83	24	108	17489	26	13	252844	338190	295492	10	10	3	3072748224
75	20	42	13835	30	15646	4969	43	20	410211	595926	483467	10	10	5	1827318288
94	26	18	13489	45	15419	7710	51	24	406356	531540	487558	10	10	5	892263504
113	27	19	13778	52	15846	6883	54	26	410881	525904	486258	10	10	5	3093168640
67	22	47	175	34	216	5198	48	22	409357	472428	484209	9	9	5	3306854592
84	23	16	72	33	71	5482	35	19	326737	370698	388343	10	10	5	661032528
109	25	25	136	41	148	4928	50	24	407407	527604	479394	10	10	5	914854912
72	23	35	13501	38	15467	3874	46	21	412612	469970	479598	9	9	5	1158928272
81	26	31	78	39	76	6392	41	18	330064	371224	392229	9	9	5	1260141280
79	25	40	147	54	185	5890	51	20	412534	532436	483659	10	10	5	2125827120
38	12	26	108	19	131	2022	25	10	242288	339064	289204	10	10	3	395326880
88	29	20	13588	44	15467	13418	47	25	404805	464065	493518	12	12	5	2030815776
41	15	30	126	25	138	2132	29	12	248106	345844	290278	10	10	3	1167263488
51	16	20	13436	25	15557	2484	25	15	245057	282210	292305	10	10	3	4236030064
110	26	18	27459	36	30757	7284	44	20	406851	467798	487194	10	10	5	19194688
57	32	24	161	30	199	3304	34	14	391609	466586	482357	10	10	5	707265360
