#The local date and time: 	Fri May 14 14:29:07 2021

#TIME CONSUMTION CALCUALATIONS, Flows in pcap file
#/mnt/c/Users/ahmad/Desktop/Thesis/pcap_files/SplittedPcaps/T1oneGig.pcap
#This file contains the Time report for implementing functions below
#All Randomness Tests plugin functions including RTs in R seperated
#RTs preprocessing (which includes the initialization of R instance in the first time)
#Ground truth label extraction in which the caputred flow is matched with the ones saved in GT file
#Classification time using ANN prediction
#NOTE: this time calculation is for each processed flow
#in ANN classification with its trained model(the model is loaded only once in the first flow)
#
RTpre	Freq	Blockfreq	Ser	Cumsum	ApEnt	Dft	Lruns	Runs	TBT	GCD	Bckstack	GTmatch	Classification	Packets	FlowID
38	31	66	150	60	213	2604	33	15	0	0	0	14	14	5	48136128
35	21	42	13044	28	15000	1719	29	16	0	0	0	22	22	5	27459712
85	42	19	25649	38	30415	5043	48	34	0	0	0	15	15	5	1055443008
72	42	38	13150	36	14727	4093	43	19	0	0	0	9	9	5	1201867456
35	20	43	25758	31	30016	5802	36	16	0	0	0	11	11	5	1578473904
36	20	44	25845	31	30646	2152	44	17	0	0	0	11	11	5	2223073136
28	16	30	108	21	132	2261	23	21	0	0	0	9	9	3	4098946288
62	26	35	141	39	192	6467	49	23	0	0	0	10	10	5	3780264384
48	19	37	38551	34	44640	2228	57	16	0	0	0	11	11	5	3027051488
125	29	28	122	40	165	6727	78	23	0	0	0	10	10	5	1249287344
108	30	32	124	43	137	8254	53	22	0	0	0	8	8	5	3939643504
74	28	29	123	41	147	6725	46	21	0	0	0	8	8	5	257099840
125	30	28	130	61	135	6635	65	20	0	0	0	8	8	5	3559879632
40	36	35	26126	29	30105	3459	29	14	0	0	0	11	11	4	129896320
74	25	16	75	35	85	7528	35	19	0	0	0	9	9	5	2322078912
83	30	19	13115	40	15099	5999	49	23	0	0	0	9	9	5	608033680
97	26	18	26075	42	30015	5709	50	23	0	0	0	11	11	5	1520625696
51	36	27	13212	29	14670	2762	31	17	0	0	0	10	10	5	2906484672
62	19	14	25597	21	29793	2928	25	13	0	0	0	11	11	3	2378152480
20	12	14	14393	28	15169	7809	18	7	0	0	0	9	9	2	2114459472
108	28	30	123	39	134	6614	46	18	0	0	0	8	8	5	434903280
55	22	52	13018	64	14844	4561	38	21	0	0	0	22	22	5	2097007168
32	18	23	38463	29	44086	4620	31	16	0	0	0	16	16	5	3323541520
40	20	33	39032	31	45483	5235	41	17	0	0	0	11	11	5	1404519712
27	14	20	13394	19	14672	3610	25	15	0	0	0	9	9	3	300156416
66	22	34	104	34	111	3400	33	14	0	0	0	8	8	4	4149788080
21	12	18	13128	17	14936	6754	18	9	0	0	0	9	9	2	122813568
40	20	23	149	33	95	2871	28	12	0	0	0	7	7	3	1947997600
25	15	49	75	18	95	7244	21	10	0	0	0	7	7	2	2860589616
39	35	34	13586	26	14510	2929	30	13	0	0	0	9	9	3	1035405584
28	30	21	12939	20	14640	6711	26	11	0	0	0	5	5	3	3922312016
79	20	16	63	32	62	3089	42	19	0	0	0	10	10	5	148207616
119	31	19	12847	42	15763	4291	48	25	0	0	0	12	12	5	3081393152
63	29	24	13073	39	15036	5568	46	21	0	0	0	10	10	5	64965360
92	30	18	26399	40	30682	6537	48	23	0	0	0	10	10	5	977557376
182	52	43	54699	37	58866	6494	55	21	0	0	0	11	11	5	3179347856
39	17	28	13123	25	15170	21633	29	13	0	0	0	10	10	3	2778902688
4	4	8	51	7	53	197	4	3	0	0	0	8	8	1	1975642928
106	28	30	121	45	133	4358	89	24	0	0	0	10	10	5	3596650496
109	31	29	144	76	185	5184	49	33	0	0	0	11	11	5	2082051072
69	25	15	41398	36	44857	5748	48	21	0	0	0	13	13	5	567451648
45	15	32	107	21	165	2267	25	12	0	0	0	8	8	3	636415168
51	21	13	53	67	57	12029	31	13	0	0	0	8	8	4	3504607568
88	28	20	83	41	82	5995	45	21	0	0	0	11	11	5	665142188
60	20	24	161	32	199	3379	49	16	0	0	0	9	9	5	309822558
30	15	33	110	42	137	1997	26	13	0	0	0	9	9	3	149813280
62	22	15	62	33	61	3221	34	26	0	0	0	9	9	5	3465446400
26	15	33	119	22	133	3244	26	14	0	0	0	24	24	3	2230717024
86	27	39	128	57	126	7249	47	37	0	0	0	11	11	5	1833154080
98	26	19	13650	46	15793	9465	57	25	0	0	0	15	15	5	2252590336
115	40	19	13590	46	14480	6011	53	20	0	0	0	10	10	5	1319250896
86	26	19	13259	34	14917	7093	36	20	0	0	0	12	12	5	788061712
80	43	17	13313	41	14976	6450	48	22	0	0	0	9	9	5	1767370224
89	26	17	76	58	75	5294	41	20	0	0	0	8	8	5	2001093264
80	23	17	26111	38	30155	4341	44	23	0	0	0	11	11	5	3860547040
55	40	17	26282	41	30507	7230	55	25	0	0	0	10	10	5	3592554256
54	23	17	25392	37	30252	4658	40	22	0	0	0	11	11	5	1122770992
61	17	43	122	23	230	2616	39	11	0	0	0	8	8	3	2309540720
59	18	9	26618	27	29899	4511	27	15	0	0	0	11	11	3	3201139952
24	14	7	13157	19	14754	8819	20	9	0	0	0	10	10	2	1994600832
92	29	31	139	43	183	6252	45	20	0	0	0	8	8	5	1233048016
87	23	40	13512	31	14705	4658	44	20	0	0	0	9	9	5	1438525440
88	23	28	12813	31	14635	3817	41	19	0	0	0	9	9	5	4160216224
103	30	19	13540	44	15179	6228	51	30	0	0	0	20	20	5	94482560
151	27	31	13031	43	14512	6029	52	23	0	0	0	10	10	5	2564265824
124	33	20	114	52	96	20985	54	25	0	0	0	10	10	5	2950909344
73	27	26	14331	41	14584	5960	45	22	0	0	0	11	11	5	1007074576
43	34	12	13038	24	14616	2078	26	12	0	0	0	9	9	3	1530840960
32	17	20	15817	23	14470	5578	24	15	0	0	0	13	13	3	2777719120
91	22	22	111	57	111	12251	37	18	0	0	0	8	8	4	2014891728
15	10	22	103	16	112	1513	11	6	0	0	0	8	8	2	3095824672
18	10	17	13046	15	14705	699	14	9	0	0	0	9	9	2	2505454416
14	11	16	13370	17	14344	723	14	11	0	0	0	15	15	2	3213644720
50	19	21	98	28	107	16601	29	14	0	0	0	9	9	3	3072748224
93	22	41	12919	42	14752	4623	43	17	0	0	0	8	8	5	1827318288
126	26	18	13080	43	14643	7149	51	22	0	0	0	8	8	5	892263504
117	28	19	13702	41	14592	6348	52	24	0	0	0	9	9	5	3093168640
55	20	46	200	30	249	4452	41	19	0	0	0	8	8	5	3306854592
58	43	81	89	45	89	5112	34	15	0	0	0	8	8	5	661032528
164	30	25	120	58	132	4801	49	50	0	0	0	9	9	5	914854912
83	25	36	13276	37	16123	3874	49	22	0	0	0	12	12	5	1158928272
67	26	17	76	53	75	6041	37	19	0	0	0	8	8	5	1260141280
78	43	39	145	53	182	5453	47	17	0	0	0	7	7	5	2125827120
24	11	25	104	15	130	1950	20	9	0	0	0	7	7	3	395326880
95	31	20	13140	81	14795	12480	46	22	0	0	0	10	10	5	2030815776
34	15	48	108	27	132	2093	28	10	0	0	0	8	8	3	1167263488
46	21	21	12792	25	15730	2317	25	15	0	0	0	12	12	3	4236030064
83	26	18	26090	37	30635	7019	60	21	0	0	0	11	11	5	19194688
71	21	24	169	32	218	3533	34	17	0	0	0	9	9	5	707265360
107	26	36	13371	38	14745	3995	45	19	0	0	0	9	9	5	2017656128
57	21	38	13158	29	14978	3755	35	20	0	0	0	9	9	5	3406765168
37	15	49	108	25	237	2515	27	10	0	0	0	9	9	3	3832425392
34	30	15	13029	22	15632	3794	39	12	0	0	0	14	14	3	545873664
161	27	21	83	41	114	6000	44	21	0	0	0	9	9	5	762587712
147	30	20	13285	42	14683	6033	54	23	0	0	0	10	10	5	220604112
15	10	24	106	15	113	795	14	8	0	0	0	7	7	2	2608833872
18	30	38	119	18	113	753	14	9	0	0	0	22	22	2	674150832
15	12	24	110	20	114	707	28	6	0	0	0	10	10	2	3143934096
51	18	30	124	28	133	3792	29	13	0	0	0	8	8	4	727585648
9	5	9	41	6	53	184	5	4	0	0	0	8	8	1	4052984736
38	35	30	108	27	132	2608	32	12	0	0	0	6	6	3	3742947872
100	24	17	75	35	92	8359	35	17	0	0	0	7	7	5	2948134064
126	28	27	13535	43	16114	5436	53	22	0	0	0	10	10	5	1904173072
14	12	12	13139	17	14586	1578	13	8	0	0	0	9	9	2	80317056
30	14	17	85	23	75	12756	23	9	0	0	0	9	9	2	903018944
98	29	32	152	45	158	6391	47	17	0	0	0	8	8	5	2224259328
58	43	26	105	40	118	4900	39	20	0	0	0	8	8	5	2600969728
58	48	29	123	53	175	6484	43	21	0	0	0	8	8	5	3129752576
59	48	29	123	43	170	6431	46	22	0	0	0	8	8	5	4187318272
74	43	71	13043	39	15045	5323	57	20	0	0	0	11	11	5	421133824
128	25	40	138	38	173	6993	51	22	0	0	0	8	8	5	3944371072
