#The local date and time: 	Fri May 14 14:25:52 2021

#TIME CONSUMTION CALCUALATIONS, Flows in pcap file
#/mnt/c/Users/ahmad/Desktop/Thesis/pcap_files/SplittedPcaps/T1oneGig.pcap
#This file contains the Time report for implementing functions below
#All Randomness Tests plugin functions including RTs in R seperated
#RTs preprocessing (which includes the initialization of R instance in the first time)
#Ground truth label extraction in which the caputred flow is matched with the ones saved in GT file
#Classification time using ANN prediction
#NOTE: this time calculation is for each processed flow
#in ANN classification with its trained model(the model is loaded only once in the first flow)
#
RTpre	Freq	Blockfreq	Ser	Cumsum	ApEnt	Dft	Lruns	Runs	TBT	GCD	Bckstack	GTmatch	Classification	Packets	FlowID
51	32	41	177	37	209	2615	64	15	0	0	0	27	27	5	48136128
37	19	42	13020	28	15223	1803	28	15	0	0	0	12	12	5	27459712
84	23	16	26275	34	30275	4616	43	21	0	0	0	12	12	5	1055443008
58	37	57	12994	36	14673	4067	80	34	0	0	0	9	9	5	1201867456
37	19	44	25890	32	30044	5879	35	17	0	0	0	11	11	5	1578473904
40	21	66	26288	31	30907	2232	35	17	0	0	0	11	11	5	2223073136
40	15	30	140	21	167	2322	23	10	0	0	0	9	9	3	4098946288
58	26	52	141	43	208	6478	44	20	0	0	0	8	8	5	3780264384
64	21	37	38425	33	44481	2231	37	16	0	0	0	11	11	5	3027051488
110	28	28	123	40	148	6594	50	21	0	0	0	9	9	5	1249287344
109	25	32	124	40	137	8123	48	19	0	0	0	7	7	5	3939643504
62	47	29	122	72	136	6493	44	20	0	0	0	8	8	5	257099840
125	27	29	164	55	148	6504	51	19	0	0	0	8	8	5	3559879632
38	35	35	25738	45	31147	3376	29	14	0	0	0	12	12	4	129896320
65	43	17	90	48	74	7507	34	19	0	0	0	8	8	5	2322078912
98	41	19	13335	40	14665	5940	47	22	0	0	0	9	9	5	608033680
100	25	18	25625	41	29773	5971	51	23	0	0	0	11	11	5	1520625696
79	18	28	12963	28	14732	2694	31	16	0	0	0	10	10	5	2906484672
41	15	10	26084	22	30570	2732	26	13	0	0	0	11	11	3	2378152480
34	12	15	13277	19	14573	7823	18	8	0	0	0	9	9	2	2114459472
121	27	31	132	94	158	6254	46	18	0	0	0	8	8	5	434903280
46	20	32	12922	29	14733	4331	35	20	0	0	0	10	10	5	2097007168
45	14	22	38130	28	44635	4639	34	29	0	0	0	12	12	5	3323541520
42	21	34	37918	30	44462	5146	41	18	0	0	0	11	11	5	1404519712
39	14	20	12714	18	14716	3837	40	16	0	0	0	11	11	3	300156416
52	21	45	87	34	151	3357	65	18	0	0	0	9	9	4	4149788080
19	12	18	13292	14	14743	6578	18	10	0	0	0	11	11	2	122813568
46	17	33	94	25	92	2553	62	12	0	0	0	8	8	3	1947997600
24	13	18	57	20	94	7231	21	10	0	0	0	7	7	2	2860589616
42	15	20	12807	26	14608	2901	30	13	0	0	0	8	8	3	1035405584
59	13	19	13229	21	14716	6481	26	12	0	0	0	7	7	3	3922312016
75	20	15	63	33	62	3147	36	17	0	0	0	9	9	5	148207616
109	31	19	13154	43	15890	4534	51	25	0	0	0	11	11	5	3081393152
56	44	24	12942	41	14632	5265	46	22	0	0	0	9	9	5	64965360
74	28	18	26004	41	30851	6660	49	22	0	0	0	14	14	5	977557376
52	22	13	53179	68	58243	6527	45	21	0	0	0	12	12	5	3179347856
46	19	11	16781	27	15141	22323	31	15	0	0	0	25	25	3	2778902688
4	5	9	39	8	51	198	4	2	0	0	0	27	27	1	1975642928
85	29	29	121	50	140	4354	49	23	0	0	0	10	10	5	3596650496
81	30	29	134	43	215	5527	47	22	0	0	0	10	10	5	2082051072
81	27	15	41846	37	44094	6007	50	21	0	0	0	12	12	5	567451648
60	15	32	109	21	150	2393	25	12	0	0	0	9	9	3	636415168
49	20	13	72	32	56	12023	30	15	0	0	0	10	10	4	3504607568
77	27	29	89	161	100	6114	43	22	0	0	0	13	13	5	665142188
44	20	42	173	65	199	3285	30	60	0	0	0	9	9	5	309822558
41	18	33	122	30	144	2045	28	14	0	0	0	9	9	3	149813280
80	38	36	62	36	75	3995	37	17	0	0	0	10	10	5	3465446400
37	16	34	109	23	216	3423	28	29	0	0	0	11	11	3	2230717024
178	41	52	140	41	77	7386	67	24	0	0	0	12	12	5	1833154080
151	25	18	15224	72	17214	9958	58	25	0	0	0	14	14	5	2252590336
103	30	19	12844	43	14678	5930	51	21	0	0	0	10	10	5	1319250896
78	43	19	12868	31	14606	7067	37	19	0	0	0	9	9	5	788061712
87	33	19	12865	41	15157	6447	46	23	0	0	0	10	10	5	1767370224
103	26	17	75	38	86	5402	40	19	0	0	0	8	8	5	2001093264
91	25	18	25850	37	30443	4524	44	22	0	0	0	11	11	5	3860547040
60	28	17	26197	39	30735	7209	45	24	0	0	0	12	12	5	3592554256
58	24	19	25575	36	30459	4392	40	23	0	0	0	11	11	5	1122770992
31	33	32	108	35	149	2478	27	12	0	0	0	7	7	3	2309540720
46	38	9	27669	25	29960	4584	30	15	0	0	0	12	12	3	3201139952
26	14	7	12744	19	14985	8679	20	9	0	0	0	9	9	2	1994600832
99	30	32	197	43	136	6311	48	21	0	0	0	9	9	5	1233048016
91	22	40	13321	32	15078	4902	44	19	0	0	0	8	8	5	1438525440
68	19	27	13667	28	15141	3954	38	19	0	0	0	12	12	5	4160216224
116	27	19	13228	42	14606	6069	50	23	0	0	0	10	10	5	94482560
93	27	19	13072	41	14938	6177	50	24	0	0	0	10	10	5	2564265824
133	31	21	127	48	96	20985	52	24	0	0	0	11	11	5	2950909344
98	28	27	14168	40	14650	5791	49	23	0	0	0	37	37	5	1007074576
41	34	13	12939	24	14459	2140	25	13	0	0	0	10	10	3	1530840960
33	17	21	15551	24	14765	5722	24	14	0	0	0	11	11	3	2777719120
94	22	22	98	37	109	12363	41	17	0	0	0	8	8	4	2014891728
