#The local date and time: 	Fri May 14 14:35:48 2021

#TIME CONSUMTION CALCUALATIONS, Flows in pcap file
#/mnt/c/Users/ahmad/Desktop/Thesis/pcap_files/SplittedPcaps/T1oneGig.pcap
#This file contains the Time report for implementing functions below
#All Randomness Tests plugin functions including RTs in R seperated
#RTs preprocessing (which includes the initialization of R instance in the first time)
#Ground truth label extraction in which the caputred flow is matched with the ones saved in GT file
#Classification time using ANN prediction
#NOTE: this time calculation is for each processed flow
#in ANN classification with its trained model(the model is loaded only once in the first flow)
#
RTpre	Freq	Blockfreq	Ser	Cumsum	ApEnt	Dft	Lruns	Runs	TBT	GCD	Bckstack	GTmatch	Classification	Packets	FlowID
37	27	74	152	69	190	2272	50	15	0	0	0	14	14	5	48136128
53	18	43	14088	29	15353	1836	29	16	0	0	0	16	16	5	27459712
62	24	17	28724	74	30716	4650	42	23	0	0	0	11	11	5	1055443008
60	31	38	13174	36	14749	3979	42	19	0	0	0	10	10	5	1201867456
34	20	43	27161	34	30447	5712	35	17	0	0	0	11	11	5	1578473904
40	20	47	26506	32	31145	2405	35	15	0	0	0	9	9	5	2223073136
45	15	30	106	21	146	2860	24	10	0	0	0	9	9	3	4098946288
63	24	36	142	36	176	6668	43	21	0	0	0	10	10	5	3780264384
66	18	36	40437	35	46028	2350	36	16	0	0	0	11	11	5	3027051488
136	30	28	162	54	150	6515	51	20	0	0	0	9	9	5	1249287344
127	30	32	156	43	174	8265	55	22	0	0	0	8	8	5	3939643504
86	30	28	148	63	183	6674	46	20	0	0	0	8	8	5	257099840
115	29	28	134	41	162	6621	59	21	0	0	0	8	8	5	3559879632
59	19	35	25889	29	30009	3466	29	14	0	0	0	12	12	4	129896320
81	26	16	75	36	84	7532	35	18	0	0	0	8	8	5	2322078912
79	29	19	13538	42	15002	6244	47	24	0	0	0	12	12	5	608033680
84	26	17	26972	42	30429	5401	50	23	0	0	0	10	10	5	1520625696
42	17	27	13188	28	14629	2791	42	16	0	0	0	10	10	5	2906484672
35	14	9	25972	21	30736	2671	26	13	0	0	0	10	10	3	2378152480
20	12	14	13446	19	14674	7899	19	8	0	0	0	11	11	2	2114459472
104	27	30	123	38	148	6562	49	20	0	0	0	9	9	5	434903280
49	20	34	13123	29	15554	4319	36	20	0	0	0	11	11	5	2097007168
32	14	22	39479	30	45377	4767	33	15	0	0	0	12	12	5	3323541520
45	19	33	42019	27	48061	5120	41	18	0	0	0	13	13	5	1404519712
39	13	20	13697	18	14799	3577	25	15	0	0	0	11	11	3	300156416
47	20	26	102	32	102	3471	33	16	0	0	0	8	8	4	4149788080
20	12	17	13124	17	14505	6777	18	9	0	0	0	10	10	2	122813568
63	20	35	79	27	91	3490	33	16	0	0	0	12	12	3	1947997600
25	14	20	73	49	98	7454	21	10	0	0	0	8	8	2	2860589616
