#The local date and time: 	Fri May 14 17:18:34 2021

#TIME CONSUMTION CALCUALATIONS, Flows in pcap file
#/mnt/c/Users/ahmad/Desktop/Thesis/pcap_files/SplittedPcaps/T1oneGig.pcap
#This file contains the Time report for implementing functions below
#All Randomness Tests plugin functions including RTs in R seperated
#RTs preprocessing (which includes the initialization of R instance in the first time)
#Ground truth label extraction in which the caputred flow is matched with the ones saved in GT file
#Classification time using ANN prediction
#NOTE: this time calculation is for each processed flow
#in ANN classification with its trained model(the model is loaded only once in the first flow)
#
RTpre	Freq	Blockfreq	Ser	Cumsum	ApEnt	Dft	Lruns	Runs	TBT	GCD	Bckstack	GTmatch	Classification	Packets	FlowID
34	28	35	165	32	270	2626	34	13	933410	361866	354231	10	10	5	48136128
34	14	23	13391	28	14632	1768	28	15	303481	346236	355513	9	9	5	27459712
64	24	15	25514	38	28802	4562	46	21	375270	514420	466922	11	11	5	1055443008
61	24	35	12933	38	14552	4183	45	20	388530	507475	461819	9	9	5	1201867456
40	17	43	25078	32	29510	5784	35	17	385609	562901	458533	9	9	5	1578473904
44	17	43	25410	31	29121	2198	36	17	384839	623672	453177	9	9	5	2223073136
29	13	28	99	20	124	2142	24	10	230884	327057	275003	10	10	3	4098946288
86	73	33	133	38	156	6172	45	16	387931	562787	469522	10	10	5	3780264384
47	18	34	38832	34	43520	2216	38	16	392935	615246	462691	9	9	5	3027051488
73	24	26	113	34	136	6267	48	19	388686	448520	469899	9	9	5	1249287344
94	27	30	115	41	126	8030	79	33	391009	497930	465169	9	9	5	3939643504
142	30	29	130	39	125	6308	46	18	390453	449954	469062	10	10	5	257099840
80	24	26	113	34	125	6278	48	29	395061	447464	462977	9	9	5	3559879632
39	15	32	25309	29	28757	3471	29	14	307482	358514	370057	10	10	4	129896320
84	24	15	90	37	83	7028	37	18	311257	360879	371970	9	9	5	2322078912
100	28	19	13063	42	14610	7027	64	25	388147	447056	460460	9	9	5	608033680
78	26	16	25451	67	29250	5535	49	22	389402	450087	471356	9	9	5	1520625696
74	19	62	13151	28	15441	2854	32	16	372290	504486	454438	10	10	5	2906484672
46	14	9	25212	21	28982	2744	27	13	233551	321990	279499	9	9	3	2378152480
25	11	14	12679	18	14937	7960	20	8	154110	179579	192160	9	9	2	2114459472
73	24	28	116	32	130	6447	41	17	392726	505196	457800	9	9	5	434903280
50	19	31	12748	28	14566	4412	36	19	384148	559024	466884	10	10	5	2097007168
37	14	23	38402	28	43148	4595	32	15	384099	501594	455496	10	10	5	3323541520
46	17	31	37778	29	44380	5562	42	18	383428	448459	460394	10	10	5	1404519712
33	14	20	12951	20	14316	3799	26	14	238719	323448	279034	10	10	3	300156416
53	18	25	80	31	93	3288	34	15	302039	461802	368780	9	9	4	4149788080
25	11	17	12812	16	15007	6823	18	9	153929	180182	186167	9	9	2	122813568
41	17	20	73	26	85	2591	30	14	234227	277856	278666	20	20	3	1947997600
28	14	18	58	22	69	7134	20	18	155026	182657	182354	9	9	2	2860589616
63	14	20	12706	25	14440	2898	30	14	233070	268138	277024	9	9	3	1035405584
36	25	19	12517	20	14336	6710	27	11	234123	268104	277277	6	6	3	3922312016
53	21	14	57	35	104	3036	48	18	234357	272868	283368	10	10	5	148207616
84	28	18	12988	42	14936	4362	46	23	385604	448441	457177	10	10	5	3081393152
89	25	22	12793	41	14531	5380	48	21	385469	446601	466430	9	9	5	64965360
95	26	16	25695	40	29673	6897	54	26	388138	449930	463778	9	9	5	977557376
53	21	13	50313	33	57951	6557	46	21	392450	508245	460681	9	9	5	3179347856
42	16	11	13503	28	14787	22266	66	25	235538	268838	282118	23	23	3	2778902688
9	4	8	38	7	50	155	4	2	74602	142362	90258	10	10	1	1975642928
90	24	27	112	38	123	4304	50	21	389694	451828	468798	10	10	5	3596650496
79	27	27	113	42	160	5333	48	20	387913	513299	463496	11	11	5	2082051072
86	25	15	40498	38	44606	5901	48	20	387718	574515	481167	10	10	5	567451648
32	14	31	105	20	132	2196	25	11	248995	346092	287835	11	11	3	636415168
52	19	13	55	28	54	12379	76	15	244944	278575	287610	10	10	4	3504607568
97	27	20	83	40	81	6170	45	21	325942	366990	385075	12	12	5	665142188
69	19	23	160	30	198	3314	32	16	389542	461226	468892	9	9	5	309822558
44	17	33	122	29	134	2127	28	15	240080	333933	279671	10	10	3	149813280
