#The local date and time: 	Fri May 14 19:31:38 2021

#TIME CONSUMTION CALCUALATIONS, Flows in pcap file
#/mnt/c/Users/ahmad/Desktop/Thesis/pcap_files/SplittedPcaps/T1oneGig.pcap
#This file contains the Time report for implementing functions below
#All Randomness Tests plugin functions including RTs in R seperated
#RTs preprocessing (which includes the initialization of R instance in the first time)
#Ground truth label extraction in which the caputred flow is matched with the ones saved in GT file
#Classification time using ANN prediction
#NOTE: this time calculation is for each processed flow
#in ANN classification with its trained model(the model is loaded only once in the first flow)
#
RTpre	Freq	Blockfreq	Ser	Cumsum	ApEnt	Dft	Lruns	Runs	TBT	GCD	Bckstack	GTmatch	Classification	Packets	FlowID
36	29	40	150	35	191	2316	31	11	936157	355854	364010	9	9	5	48136128
36	20	26	12842	28	14637	1796	30	16	305013	349572	361818	9	9	5	27459712
77	22	15	25363	38	29878	4920	47	22	380527	522373	471503	10	10	5	1055443008
106	23	35	12749	37	15117	4011	42	19	397413	515909	471647	9	9	5	1201867456
43	17	43	25484	32	28970	5892	36	17	389983	575557	461645	9	9	5	1578473904
58	17	43	25267	31	29984	2209	36	15	380259	627117	467699	9	9	5	2223073136
39	13	28	99	20	122	2262	23	9	235680	330235	284498	12	12	3	4098946288
84	23	33	132	38	155	6236	44	19	383537	562074	472004	13	13	5	3780264384
45	18	34	38000	33	43285	2214	37	15	391699	622205	473438	9	9	5	3027051488
74	26	61	114	39	125	6266	65	18	385206	451940	475750	9	9	5	1249287344
106	28	30	116	41	126	7934	51	20	386567	510934	471986	10	10	5	3939643504
76	26	26	114	38	126	6597	46	21	402771	458184	473720	9	9	5	257099840
78	24	26	113	34	123	6422	48	21	401223	454853	471492	9	9	5	3559879632
40	16	32	26150	30	29449	3366	29	14	315389	368232	370656	10	10	4	129896320
67	21	15	69	31	68	7148	36	19	312972	364942	382397	10	10	5	2322078912
85	27	17	13201	42	14968	6577	53	25	392890	452264	473706	9	9	5	608033680
80	26	17	26144	35	29043	5415	48	23	394891	453920	470726	8	8	5	1520625696
38	15	25	13583	24	15234	2900	32	17	378836	507170	468975	9	9	5	2906484672
35	14	10	25226	20	29024	2742	25	12	232412	321957	284623	9	9	3	2378152480
26	11	14	12743	17	14482	7865	19	7	151856	180529	185853	9	9	2	2114459472
86	24	27	114	33	124	6117	41	17	392489	513100	474157	9	9	5	434903280
52	20	31	12681	30	14561	4579	45	23	392731	563666	470907	10	10	5	2097007168
39	16	22	39721	31	44912	4561	32	19	383148	508805	464848	10	10	5	3323541520
43	18	31	38021	31	44395	5188	41	18	392829	454099	465986	10	10	5	1404519712
35	14	19	12497	19	14639	3714	25	14	236496	327685	279659	9	9	3	300156416
53	19	25	126	32	93	3239	34	15	308445	470223	371507	9	9	4	4149788080
32	10	72	12628	16	14545	6801	18	8	155642	186738	188819	10	10	2	122813568
45	17	20	72	28	83	2586	30	14	242264	275819	282406	8	8	3	1947997600
30	12	18	59	19	70	7050	22	10	154200	178569	188028	8	8	2	2860589616
42	15	20	12814	26	14809	2890	42	14	230101	270728	285167	8	8	3	1035405584
35	14	20	13433	21	15413	6839	41	12	248969	281265	291541	6	6	3	3922312016
71	20	16	63	34	62	3034	34	15	241898	282520	295306	10	10	5	148207616
92	29	19	13546	44	15471	4573	48	25	405790	461082	490886	10	10	5	3081393152
97	26	25	13908	42	15955	5883	51	22	411509	472797	490684	9	9	5	64965360
90	28	18	27741	42	31753	7236	54	23	408779	472315	492672	9	9	5	977557376
61	21	13	55411	37	61376	7130	49	22	407322	532784	495643	9	9	5	3179347856
49	18	12	13846	25	15917	23340	30	14	252596	286873	297375	9	9	3	2778902688
8	5	9	41	8	54	168	4	2	79277	150322	94293	10	10	1	1975642928
88	27	29	122	43	134	4373	54	33	412258	472922	491133	11	11	5	3596650496
90	28	29	121	44	147	5596	49	22	413794	529690	489043	11	11	5	2082051072
76	24	15	40392	38	45961	6281	50	23	403311	587080	495018	10	10	5	567451648
28	13	31	109	21	145	2161	29	13	251259	345942	293728	10	10	3	636415168
73	19	13	72	28	56	12456	32	24	247618	281235	295054	9	9	4	3504607568
89	26	20	83	40	81	6140	48	21	331489	376906	394660	13	13	5	665142188
54	19	24	162	30	197	3367	33	18	395385	464952	479693	9	9	5	309822558
81	18	33	108	27	133	2217	29	15	247517	350474	291358	10	10	3	149813280
69	25	15	62	34	61	3512	36	19	249958	284939	294267	10	10	5	3465446400
38	13	33	110	20	136	2794	48	12	251898	349782	289553	10	10	3	2230717024
86	27	20	83	42	82	6496	44	21	331982	376662	390216	9	9	5	1833154080
107	28	19	14338	46	16707	10526	91	26	422719	469260	490211	11	11	5	2252590336
107	41	19	13494	46	15619	6506	53	24	406305	533328	486845	11	11	5	1319250896
93	25	19	13486	35	15403	7370	40	21	396629	527710	473892	9	9	5	788061712
88	29	18	13577	43	15440	6695	55	24	403540	522448	488185	9	9	5	1767370224
78	25	16	75	37	74	5370	51	19	332482	378306	397673	10	10	5	2001093264
63	23	18	27064	40	31146	4569	44	23	391899	523895	483052	9	9	5	3860547040
85	26	16	26871	40	30943	7927	51	25	406582	587914	492852	9	9	5	3592554256
57	23	19	26999	38	30902	4791	44	23	392364	641915	480301	10	10	5	1122770992
37	14	32	112	22	134	2372	29	12	247666	350754	292956	9	9	3	2309540720
41	16	9	27765	31	31179	4874	31	15	247604	395294	291566	10	10	3	3201139952
