FTP_Data,138.68.65.189,138.68.65.189,6010,52432,6,1624711414.832,1624711415.140,0,105930,00000000,....,0,504b0304,PK..,16384
HTTP_NonStandard,138.68.92.16,138.68.65.189,8008,46220,6,1624711415.159,1624711415.164,198719,151,48545450,HTTP,189,47455420,GET.,151
No_Payload,138.68.65.189,138.68.65.189,6007,37228,6,1624711415.171,1624711415.172,0,0,00000000,....,0,00000000,....,0
No_Payload,138.68.65.189,138.68.65.189,6003,58276,6,1624711415.191,1624711415.191,0,0,00000000,....,0,00000000,....,0
SSL/TLS,138.197.177.67,138.68.65.189,4001,43300,6,1624711415.211,1624711415.218,725,3560,16030101,....,371,16030300,....,1419
Unknown_TCP,138.68.65.189,138.68.65.189,6002,52724,6,1624711415.225,1624711415.226,0,28641,00000000,....,0,49443304,ID3.,16384
SSH,138.68.65.189,138.68.65.189,3001,39626,6,1624711415.251,1624711415.873,3193,3849,5353482d,SSH-,41,5353482d,SSH-,41
No_Payload,138.68.65.189,138.68.65.189,6000,56826,6,1624711415.882,1624711415.882,0,0,00000000,....,0,00000000,....,0
FTP_Control,134.122.80.82,138.68.65.189,2002,47174,6,1624711415.898,1624711415.904,102,305,55534552,USER,16,32323020,220.,28
HTTP_NonStandard,138.68.92.16,138.68.65.189,8005,50566,6,1624711415.918,1624711415.924,390307,160,48545450,HTTP,188,47455420,GET.,160
SSH,138.68.92.16,138.68.65.189,3009,36126,6,1624711415.937,1624711416.665,3229,392485,5353482d,SSH-,41,5353482d,SSH-,41
SSL/TLS,138.197.177.67,138.68.65.189,4005,34826,6,1624711416.672,1624711416.680,635,73943,16030101,....,371,16030300,....,1419
SSH,138.68.92.16,138.68.65.189,3008,38332,6,1624711416.694,1624711417.394,3177,298469,5353482d,SSH-,41,5353482d,SSH-,41
SSH,138.68.65.189,138.68.65.189,3005,53290,6,1624711417.400,1624711417.974,3113,84417,5353482d,SSH-,41,5353482d,SSH-,41
SSH,138.68.65.189,138.68.65.189,3001,39644,6,1624711417.988,1624711418.581,3185,4161,5353482d,SSH-,41,5353482d,SSH-,41
Unknown_TCP,138.68.65.189,138.68.65.189,6009,34216,6,1624711418.591,1624711418.592,0,370385,00000000,....,0,4d41544c,MATL,16384
FTP_Control,134.122.80.82,138.68.65.189,2003,46166,6,1624711418.623,1624711418.635,260,306,55534552,USER,16,32323020,220.,28
SSL/TLS,138.197.177.67,138.68.65.189,4005,34840,6,1624711418.647,1624711418.654,635,66291,16030101,....,371,16030300,....,1419
SSL/TLS,138.197.177.67,138.68.65.189,4001,43332,6,1624711418.664,1624711418.673,718,3489,16030101,....,371,16030300,....,1419
FTP_Control,134.122.80.82,138.68.65.189,2004,49402,6,1624711418.682,1624711418.689,92,306,55534552,USER,16,32323020,220.,28
