FTP_Data,138.68.65.189,138.68.65.189,6012,47404,6,1624718773.092,1624718774.059,0,105930,00000000,....,0,00000020,....,16384
HTTP_NonStandard,138.68.92.16,138.68.65.189,8002,33806,6,1624718774.077,1624718774.081,34781,161,48545450,HTTP,188,47455420,GET.,161
FTP_Control,134.122.80.82,138.68.65.189,2000,47110,6,1624718774.090,1624718774.095,63,293,55534552,USER,16,32323020,220.,28
SSL/TLS,138.197.177.67,138.68.65.189,4008,52808,6,1624718774.106,1624718774.114,626,81843,16030101,....,371,16030300,....,1419
FTP_Data,138.68.65.189,138.68.65.189,6003,36938,6,1624718774.121,1624718774.127,0,588436,00000000,....,0,25504446,%PDF,16384
FTP_Control,134.122.80.82,138.68.65.189,2008,58340,6,1624718774.148,1624718774.156,82,306,55534552,USER,16,32323020,220.,28
SSL/TLS,138.197.177.67,138.68.65.189,4012,51052,6,1624718774.168,1624718774.184,642,841726,16030101,....,371,16030300,....,1419
FTP_Data,138.68.65.189,138.68.65.189,6008,42198,6,1624718774.192,1624718774.193,0,104466,00000000,....,0,1a45dfa3,.E..,16384
SSH,134.122.80.82,138.68.65.189,7000,45794,6,1624718774.217,1624718774.740,3253,3333,5353482d,SSH-,41,5353482d,SSH-,41
HTTP_NonStandard,138.68.92.16,138.68.65.189,8004,38990,6,1624718774.747,1624718774.755,793792,156,48545450,HTTP,190,47455420,GET.,156
HTTP_NonStandard,138.68.92.16,138.68.65.189,8012,59278,6,1624718774.765,1624718774.775,900035,167,48545450,HTTP,188,47455420,GET.,167
SSH,134.122.80.82,138.68.65.189,7004,49772,6,1624718774.791,1624718775.309,800069,5069,5353482d,SSH-,41,5353482d,SSH-,41
SSH,138.197.177.67,138.68.65.189,7009,46416,6,1624718775.322,1624718776.130,393333,4401,5353482d,SSH-,41,5353482d,SSH-,41
SSL/TLS,138.197.177.67,138.68.65.189,4005,41722,6,1624718776.136,1624718776.146,635,113077,16030101,....,371,16030300,....,1419
FTP_Control,134.122.80.82,138.68.65.189,2006,35728,6,1624718776.158,1624718776.167,110,306,55534552,USER,16,32323020,220.,28
Unknown_TCP,138.68.65.189,138.68.65.189,6012,47440,6,1624718776.174,1624718776.176,0,500126,00000000,....,0,0000001c,....,16384
SSH,138.68.92.16,138.68.65.189,3009,43032,6,1624718776.201,1624718776.950,3249,440873,5353482d,SSH-,41,5353482d,SSH-,41
HTTP_NonStandard,138.68.92.16,138.68.65.189,8011,33220,6,1624718776.953,1624718776.975,2185273,180,48545450,HTTP,190,47455420,GET.,180
Unknown_TCP,138.68.65.189,138.68.65.189,6007,44156,6,1624718776.983,1624718776.983,0,11965,00000000,....,0,6c616265,labe,11965
HTTP_NonStandard,138.68.92.16,138.68.65.189,8005,57480,6,1624718776.997,1624718777.001,79586,160,48545450,HTTP,187,47455420,GET.,160
SSH,138.68.65.189,138.68.65.189,3002,35656,6,1624718777.016,1624718777.655,3113,23305,5353482d,SSH-,41,5353482d,SSH-,41
SSH,138.68.65.189,138.68.65.189,3002,35658,6,1624718777.670,1624718778.289,3113,31561,5353482d,SSH-,41,5353482d,SSH-,41
SSL/TLS,138.197.177.67,138.68.65.189,4003,34216,6,1624718778.298,1624718778.313,706,723110,16030101,....,371,16030300,....,1419
SSL/TLS,138.197.177.67,138.68.65.189,4007,33314,6,1624718778.334,1624718778.341,635,2133,16030101,....,371,16030300,....,1419
HTTP_NonStandard,138.68.92.16,138.68.65.189,8009,54126,6,1624718778.351,1624718778.357,344582,171,48545450,HTTP,203,47455420,GET.,171
SSH,138.197.177.67,138.68.65.189,7007,45566,6,1624718778.370,1624718779.191,86921,3865,5353482d,SSH-,41,5353482d,SSH-,41
FTP_Control,134.122.80.82,138.68.65.189,2010,46898,6,1624718779.195,1624718779.200,112,304,55534552,USER,16,32323020,220.,28
SSH,138.197.177.67,138.68.65.189,7011,50374,6,1624718779.215,1624718780.208,1977873,7189,5353482d,SSH-,41,5353482d,SSH-,41
HTTP_NonStandard,138.68.92.16,138.68.65.189,8003,58360,6,1624718780.205,1624718780.216,1035081,222,48545450,HTTP,195,47455420,GET.,222
FTP_Control,134.122.80.82,138.68.65.189,2000,47172,6,1624718780.225,1624718780.231,63,294,55534552,USER,16,32323020,220.,28
FTP_Data,138.68.65.189,138.68.65.189,6005,55340,6,1624718780.239,1624718780.241,0,55412,00000000,....,0,89504e47,.PNG,16384
SSH,138.68.65.189,138.68.65.189,3002,35682,6,1624718780.263,1624718780.861,3113,31945,5353482d,SSH-,41,5353482d,SSH-,41
FTP_Control,134.122.80.82,138.68.65.189,2000,47180,6,1624718780.872,1624718780.877,63,294,55534552,USER,16,32323020,220.,28
SSH,138.68.65.189,138.68.65.189,3002,35688,6,1624718780.891,1624718781.550,3113,40657,5353482d,SSH-,41,5353482d,SSH-,41
SSH,138.197.177.67,138.68.65.189,7012,42812,6,1624718781.569,1624718782.486,338845,4277,5353482d,SSH-,41,5353482d,SSH-,41
SSH,138.68.92.16,138.68.65.189,3007,58412,6,1624718782.496,1624718783.225,3113,2877,5353482d,SSH-,41,5353482d,SSH-,41
SSH,138.197.177.67,138.68.65.189,7012,42816,6,1624718783.231,1624718784.057,558397,4713,5353482d,SSH-,41,5353482d,SSH-,41
FTP_Control,134.122.80.82,138.68.65.189,2005,34246,6,1624718784.058,1624718784.063,104,305,55534552,USER,16,32323020,220.,28
FTP_Control,134.122.80.82,138.68.65.189,2000,47196,6,1624718784.071,1624718784.076,63,294,55534552,USER,16,32323020,220.,28
SSH,138.68.65.189,138.68.65.189,3000,49214,6,1624718784.090,1624718784.670,3025,2881,5353482d,SSH-,41,5353482d,SSH-,41
SSH,138.68.65.189,138.68.65.189,3005,60248,6,1624718784.681,1624718785.316,3113,65965,5353482d,SSH-,41,5353482d,SSH-,41
SSH,138.68.65.189,138.68.65.189,3000,49218,6,1624718785.331,1624718786.012,3025,2881,5353482d,SSH-,41,5353482d,SSH-,41
FTP_Data,138.68.65.189,138.68.65.189,6008,42280,6,1624718786.017,1624718786.017,0,174698,00000000,....,0,1a45dfa3,.E..,16384
FTP_Control,134.122.80.82,138.68.65.189,2003,53124,6,1624718786.035,1624718786.045,266,306,55534552,USER,16,32323020,220.,28
SSH,134.122.80.82,138.68.65.189,7002,47468,6,1624718786.065,1624718786.588,49989,3801,5353482d,SSH-,41,5353482d,SSH-,41
FTP_Data,138.68.65.189,138.68.65.189,6006,50608,6,1624718786.594,1624718786.596,0,806912,00000000,....,0,d0cf11e0,....,16384
SSH,138.68.92.16,138.68.65.189,3011,58764,6,1624718786.618,1624718787.313,3177,294713,5353482d,SSH-,41,5353482d,SSH-,41
FTP_Data,138.68.65.189,138.68.65.189,6012,47516,6,1624718787.317,1624718787.321,0,790764,00000000,....,0,00000020,....,16384
HTTP_NonStandard,138.68.92.16,138.68.65.189,8011,33294,6,1624718787.349,1624718787.355,295356,153,48545450,HTTP,189,47455420,GET.,153
FTP_Data,138.68.65.189,138.68.65.189,6005,55386,6,1624718787.365,1624718787.365,0,53385,00000000,....,0,89504e47,.PNG,16384
SSL/TLS,138.197.177.67,138.68.65.189,4002,45542,6,1624718787.386,1624718787.392,636,41214,16030101,....,371,16030300,....,1419
HTTP_NonStandard,138.68.92.16,138.68.65.189,8005,57556,6,1624718787.401,1624718787.406,43833,162,48545450,HTTP,187,47455420,GET.,162
SSH,138.68.92.16,138.68.65.189,3011,58776,6,1624718787.420,1624718788.161,3761,2106997,5353482d,SSH-,41,5353482d,SSH-,41
FTP_Control,134.122.80.82,138.68.65.189,2007,41604,6,1624718788.169,1624718788.175,96,305,55534552,USER,16,32323020,220.,28
